timestamp,imu_w,imu_x,imu_y,imu_z,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6
0.05,0.135217,-0.807972,-0.505889,0.270137,-0.035991,0.040129,-0.013718,-0.003161,0.015112,-0.015028,0.036758,0.005539,0.005539,0.048843,0.01561,-0.010574
0.054,0.135217,-0.807972,-0.505889,0.270137,-0.035608,0.040129,-0.013335,-0.003161,0.015112,-0.014645,-0.025681,0.016617,0.009567,0.043808,-0.050858,0.052872
0.07,0.135217,-0.807972,-0.505889,0.270137,-0.053637,0.029387,-0.023308,-0.002394,0.003987,-0.004288,-1.783062,-1.072052,-0.528221,0.03273,-1.016663,1.222111
0.091,0.135566,-0.80767,-0.506722,0.269303,-0.073585,0.003685,-0.03405,-0.009682,-0.024784,0.035607,-0.577568,-1.467842,-0.71957,-0.657131,-2.088211,2.381277
0.111,0.139488,-0.805849,-0.509239,0.268003,-0.090081,-0.035059,-0.038653,-0.014286,-0.070434,0.078189,-1.000549,-1.981461,-0.248249,0.152576,-1.975418,1.999588
0.131,0.146564,-0.804971,-0.507882,0.269438,-0.10274,-0.07227,-0.036735,-0.016203,-0.093067,0.098903,-0.346943,-1.903915,0.513115,0.023666,-0.364063,0.134449
0.151,0.148994,-0.807552,-0.503088,0.269376,-0.115399,-0.120221,-0.027145,-0.016588,-0.08923,0.086244,-1.013641,-2.382286,0.488945,-0.023666,0.76791,-1.231174
0.171,0.145323,-0.815913,-0.493275,0.264285,-0.148774,-0.174311,-0.023308,-0.028479,-0.059309,0.051336,-1.614876,-3.166813,0.205952,-0.438591,1.92909,-1.782055
0.191,0.142644,-0.823564,-0.485517,0.25626,-0.160665,-0.235304,-0.029446,-0.055333,-0.009824,0.019879,-0.072006,-2.52932,-0.799129,-2.001602,2.566584,-1.243259
0.211,0.143337,-0.82922,-0.477457,0.252753,-0.148391,-0.272899,-0.057065,-0.099447,0.032375,0.017961,0.859554,-1.593727,-1.758892,-2.606865,1.888807,0.657131
0.231,0.146368,-0.82797,-0.474798,0.260015,-0.125373,-0.285941,-0.091975,-0.139727,0.071119,0.021414,1.396338,0.283497,-1.676311,-1.271458,1.73875,-0.053879
0.251,0.148218,-0.819675,-0.478567,0.277737,-0.103123,-0.264075,-0.115758,-0.15814,0.110631,0.004152,1.110323,1.299656,-0.603752,-0.877686,2.144609,-1.237217
0.272,0.147841,-0.809224,-0.484436,0.297693,-0.103123,-0.227248,-0.107703,-0.150084,0.155131,-0.023852,-0.725613,2.134539,0.804165,1.209019,2.163744,-1.740765
0.292,0.138427,-0.803506,-0.492073,0.305091,-0.123838,-0.19656,-0.078549,-0.126684,0.178913,-0.044184,-0.900848,1.642069,2.084185,1.754864,0.674252,-0.679287
0.312,0.127954,-0.804746,-0.49406,0.303177,-0.151843,-0.140169,-0.039804,-0.077965,0.195026,-0.039581,-1.798168,3.307804,1.701488,2.843534,0.419456,0.961273
0.332,0.117599,-0.810391,-0.498775,0.284007,-0.194807,-0.075338,0.00086,-0.023492,0.203466,-0.010042,-2.242298,3.534401,2.381277,1.974411,0.25832,1.464821
0.352,0.108921,-0.811439,-0.51203,0.259862,-0.229715,-0.000535,0.062622,-0.004695,0.218809,0.017194,-1.388283,3.492104,3.160769,0.145527,1.59675,1.417486
0.372,0.096277,-0.81678,-0.516394,0.238618,-0.232401,0.059309,0.122465,-0.011984,0.26868,0.056706,0.461754,2.987549,3.241337,-0.367085,3.219181,2.549461
0.392,0.086792,-0.827429,-0.501659,0.236994,-0.210919,0.109562,0.182691,-0.016971,0.354992,0.124222,1.363104,1.847517,3.096315,0.031723,4.094347,3.174868
0.412,0.079891,-0.8393,-0.481028,0.240428,-0.174475,0.115316,0.237547,-0.003929,0.414452,0.182531,2.001602,-0.64706,2.658228,1.093203,2.292652,2.855619
0.432,0.07661,-0.846635,-0.472004,0.233565,-0.130743,0.086162,0.280896,0.023693,0.434399,0.24391,2.533348,-2.044907,1.267429,1.548409,-0.329823,2.855619
0.452,0.080591,-0.850673,-0.47213,0.216688,-0.072434,0.037826,0.293938,0.052079,0.415602,0.290327,2.823393,-2.580681,-0.067978,1.127443,-1.352024,1.761913
0.472,0.092419,-0.850385,-0.479076,0.196954,-0.031772,0.001767,0.272457,0.053998,0.380695,0.301835,0.364063,0.76791,-2.512199,-0.813229,-1.647106,0.327808
0.492,0.113071,-0.846912,-0.486875,0.181405,0.012344,-0.020099,0.230643,0.024076,0.3431,0.278434,1.163698,-0.570518,-2.297688,-1.824352,-2.595787,-1.404396
0.513,0.117731,-0.841847,-0.487694,0.198965,0.014645,-0.038511,0.195351,0.00873,0.280954,0.240073,-0.721584,-1.108307,-1.275486,-0.196888,-3.32291,-1.99556
0.533,0.121901,-0.835196,-0.49237,0.21251,-0.014892,-0.065365,0.175019,0.014102,0.211905,0.197876,-1.783062,-1.831402,-0.937103,0.731655,-3.512245,-2.398399
0.553,0.125177,-0.831421,-0.49564,0.217739,-0.054405,-0.11255,0.155071,0.028679,0.139018,0.141868,-2.175831,-2.584709,-0.976379,0.663174,-3.503181,-2.746853
0.573,0.126027,-0.83114,-0.497089,0.215004,-0.103891,-0.17316,0.134356,0.029063,0.076874,0.087011,-2.479973,-3.206089,-1.387276,-0.403343,-3.095306,-3.004669
0.593,0.127489,-0.831083,-0.497854,0.212578,-0.151458,-0.239908,0.100982,0.019089,0.009742,0.034456,-2.590752,-3.527351,-1.753857,-0.92804,-3.262486,-1.969376
0.613,0.13185,-0.828722,-0.499387,0.215518,-0.207082,-0.316247,0.063388,-0.016203,-0.048184,0.019496,-2.702541,-3.498146,-2.228199,-2.142597,-2.959351,0.170704
0.633,0.138807,-0.823924,-0.500153,0.227442,-0.246978,-0.38031,0.011601,-0.063388,-0.099972,0.039445,-1.357059,-3.165806,-2.735775,-2.6119,-1.821331,1.273472
0.654,0.145991,-0.817137,-0.500792,0.245319,-0.253115,-0.430564,-0.046325,-0.124766,-0.114165,0.072051,0.332844,-1.791119,-3.370243,-3.109406,0.101212,1.790112
0.674,0.15298,-0.804628,-0.503894,0.27434,-0.239305,-0.44821,-0.118444,-0.180007,-0.095752,0.107343,0.992493,-0.535271,-3.453835,-2.704556,1.512154,1.039825
0.694,0.157123,-0.788918,-0.508889,0.306518,-0.212069,-0.447059,-0.177904,-0.222586,-0.061227,0.109646,1.449715,0.586632,-2.835476,-1.175785,2.224171,-0.395287
0.714,0.156926,-0.768372,-0.51642,0.343932,-0.176393,-0.426344,-0.209744,-0.230642,-0.035141,0.071284,3.063082,0.63699,-0.297596,0.115311,-0.196888,-1.872692
0.734,0.155221,-0.751453,-0.521876,0.372653,-0.114631,-0.394504,-0.198619,-0.198419,-0.010207,0.03599,2.186907,1.805218,1.21204,2.603846,2.19698,-2.067062
0.754,0.15066,-0.747673,-0.522789,0.38076,-0.092382,-0.358443,-0.159107,-0.138959,0.033909,-0.015028,0.051865,2.109362,2.188923,3.437721,2.092241,-2.56356
0.774,0.149772,-0.746748,-0.530463,0.372217,-0.109645,-0.307808,-0.113073,-0.063772,0.081476,-0.067583,-1.285557,2.532341,2.555504,3.598856,2.13051,-2.795193
0.794,0.148715,-0.747656,-0.541154,0.355031,-0.141867,-0.254485,-0.054764,-0.005847,0.117919,-0.115535,-1.941177,3.106386,2.753902,2.523277,1.521217,-1.408424
0.814,0.147868,-0.749651,-0.549219,0.338402,-0.188285,-0.186203,-0.002209,0.016403,0.150143,-0.119372,-2.406456,3.311832,2.74786,0.023666,1.604807,0.464775
0.834,0.144534,-0.7536,-0.549461,0.330589,-0.238922,-0.124825,0.056866,0.000675,0.193875,-0.096739,-2.791164,3.181917,2.77203,-1.36713,2.820372,1.457771
0.855,0.138296,-0.758878,-0.536978,0.341517,-0.287257,-0.05846,0.11249,-0.037686,0.264076,-0.061446,-1.726665,3.113436,3.015747,-2.121445,3.545479,2.20705
