timestamp,imu_w,imu_x,imu_y,imu_z,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6
0.067,0.602868,-0.604164,-0.366968,-0.36996,-0.020647,0.024017,-0.013718,0.004511,0.008591,-0.002754,0.010574,0.03273,-0.040787,-0.031723,-0.009567,0.080063
0.067,0.602832,-0.604266,-0.366915,-0.369905,-0.020647,0.024017,-0.013718,0.004127,0.008591,-0.002754,-0.034744,0.04985,-0.051865,-0.127399,0.023666,-0.041794
0.087,0.602894,-0.604253,-0.36691,-0.36983,-0.03906,0.004068,-0.027145,0.006046,-0.007522,0.013742,-1.537331,-1.758892,-1.075073,0.051865,-1.431587,1.416479
0.107,0.602438,-0.603849,-0.367043,-0.371099,-0.064378,-0.027387,-0.040571,-0.00086,-0.042046,0.053637,-1.18082,-1.2775,-0.010574,-0.511101,-1.719616,2.361135
0.127,0.599342,-0.600874,-0.3708,-0.377157,-0.086245,-0.065748,-0.038653,-0.00623,-0.076956,0.091998,-1.084137,-2.060013,0.214008,0.095169,-1.685375,1.651133
0.148,0.603303,-0.596506,-0.370788,-0.377786,-0.099671,-0.102959,-0.034816,-0.009299,-0.09345,0.104658,-0.397301,-1.701488,0.408379,-0.397301,0.03978,-0.124374
0.168,0.608027,-0.593598,-0.36917,-0.376376,-0.108878,-0.155514,-0.030981,-0.017738,-0.091533,0.090464,-0.682308,-2.766994,0.158619,-0.3409,0.506065,-1.30872
0.188,0.613671,-0.59473,-0.35955,-0.374738,-0.133812,-0.217275,-0.030214,-0.036918,-0.060459,0.054405,-1.474892,-3.521309,-0.143513,-1.440651,1.86363,-1.994553
0.208,0.618388,-0.597077,-0.348183,-0.373983,-0.150308,-0.279037,-0.040571,-0.070293,-0.015961,0.02103,-0.060928,-2.319843,-0.738705,-1.773998,2.720669,-1.202976
0.228,0.623651,-0.598324,-0.338539,-0.372101,-0.138415,-0.313178,-0.064738,-0.106737,0.033525,0.018345,1.009613,-1.353031,-1.565529,-2.030807,1.931105,0.533257
0.248,0.628688,-0.595276,-0.340278,-0.366891,-0.109261,-0.31548,-0.096961,-0.141645,0.068434,0.022181,1.59675,0.779995,-1.378212,-1.061981,1.621927,0.025681
0.268,0.630791,-0.58975,-0.354608,-0.358539,-0.086629,-0.289394,-0.111538,-0.156989,0.112549,0.004535,0.957245,1.673288,-0.213001,-0.705471,2.230213,-1.061981
0.289,0.631388,-0.584652,-0.371678,-0.348405,-0.085093,-0.247964,-0.098879,-0.138193,0.148225,-0.023468,-0.606773,2.213093,1.196934,1.977432,1.868666,-1.719616
0.309,0.626879,-0.582297,-0.379461,-0.352083,-0.113097,-0.197711,-0.068959,-0.092542,0.194642,-0.051089,-1.795147,2.803249,1.45475,2.593775,2.448753,-0.748775
0.329,0.62139,-0.580557,-0.379558,-0.364367,-0.157981,-0.134799,-0.034433,-0.05188,0.24758,-0.04802,-2.445732,2.582697,1.629984,0.912933,2.400412,0.503044
0.349,0.615878,-0.581959,-0.376728,-0.374292,-0.192505,-0.088382,0.011601,-0.050346,0.283257,-0.014262,-1.727673,2.725704,2.470909,0.147541,1.779034,1.605814
0.369,0.614919,-0.584299,-0.371033,-0.377893,-0.230099,-0.015112,0.062622,-0.051113,0.319699,0.025634,-1.321812,3.828474,2.585718,-0.016617,1.81529,2.437675
0.389,0.607555,-0.592122,-0.362277,-0.386036,-0.233552,0.051253,0.127068,-0.049195,0.355759,0.082024,0.352985,3.297733,3.082216,0.018631,2.003616,2.833464
0.409,0.600897,-0.598519,-0.355514,-0.39282,-0.211302,0.106877,0.18461,-0.039604,0.397573,0.134196,1.367132,1.939163,3.053009,0.633968,1.952255,2.603846
0.43,0.595584,-0.605894,-0.34768,-0.396599,-0.179079,0.116467,0.242918,-0.018121,0.429029,0.187518,1.992538,-0.528221,2.382284,1.591715,1.578623,2.535362
0.45,0.590182,-0.610975,-0.340263,-0.403255,-0.130743,0.090382,0.277827,0.017937,0.433632,0.237772,2.582697,-1.806225,1.057953,1.747814,-0.522179,2.834471
0.47,0.583253,-0.611615,-0.334435,-0.417009,-0.079723,0.05087,0.27706,0.047092,0.409848,0.289942,2.834471,-2.26244,-0.624901,1.170748,-1.731701,2.031815
0.49,0.573122,-0.609861,-0.333766,-0.433821,-0.016427,-0.00744,0.269388,0.058217,0.374556,0.306438,3.099337,-2.795193,-0.766903,0.162647,-1.991531,-0.255299
0.51,0.565877,-0.606273,-0.330802,-0.450318,0.021167,-0.026237,0.243685,0.048243,0.335812,0.286489,1.782055,-1.525246,-1.137516,-1.108307,-2.542412,-1.569557
0.53,0.564438,-0.607602,-0.327695,-0.452599,0.03421,-0.064214,0.220285,0.02983,0.274817,0.250431,-0.29961,-2.034836,-1.048889,-0.8092,-3.067108,-2.164753
0.55,0.566824,-0.608259,-0.329987,-0.447035,0.011577,-0.10526,0.201105,0.026377,0.213056,0.200177,-1.743786,-2.65118,-1.195927,0.167683,-3.391396,-2.457817
