timestamp,imu_w,imu_x,imu_y,imu_z,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6
0.051,0.607586,-0.600494,-0.359638,-0.375375,-0.009138,0.00637,-0.009499,-0.001243,0.013961,-0.009275,-0.011581,0.016617,-0.009567,0.038773,0.011581,0.033737
0.055,0.608325,-0.599942,-0.359704,-0.374998,-0.009522,0.00637,-0.009499,-0.001243,0.013578,-0.008891,-0.096176,-0.076035,0.08107,0.042801,-0.030716,0.041794
0.071,0.608954,-0.599493,-0.359736,-0.374664,-0.020647,-0.005905,-0.019856,0.001059,0.003604,0.001466,-0.998535,-0.997528,-0.694393,0.016617,-0.845455,1.166719
0.091,0.609096,-0.598831,-0.359792,-0.375437,-0.034074,-0.027387,-0.027912,-0.002778,-0.018263,0.030237,-0.432549,-1.080109,-0.102219,-0.321766,-1.266422,1.585672
0.111,0.608358,-0.596996,-0.361245,-0.378151,-0.048267,-0.057693,-0.028295,-0.00201,-0.045499,0.054022,-0.889771,-1.525246,0.029709,0.128407,-0.824306,0.917969
0.132,0.61017,-0.594169,-0.362504,-0.378479,-0.059008,-0.086847,-0.025226,-0.005079,-0.053171,0.060543,-0.394279,-1.439644,0.341908,-0.381187,-0.171711,-0.095169
0.152,0.612716,-0.592252,-0.361673,-0.378165,-0.070133,-0.127127,-0.022157,-0.016588,-0.050102,0.055556,-0.651089,-2.184895,0.023666,-0.579582,0.169697,-0.351978
0.172,0.616207,-0.591034,-0.358814,-0.37712,-0.088163,-0.174695,-0.025226,-0.034617,-0.036292,0.041746,-1.06601,-2.691463,-0.314716,-1.237217,0.919983,-0.92804
0.192,0.619396,-0.590277,-0.355844,-0.375895,-0.097753,-0.224179,-0.037885,-0.063005,-0.011358,0.029469,-0.216022,-1.956284,-0.739712,-1.718609,1.340948,-0.29961
0.212,0.621942,-0.589933,-0.355886,-0.372173,-0.095835,-0.25065,-0.059751,-0.093693,0.007823,0.029469,0.246235,-0.881714,-1.186863,-1.115356,1.063997,0.206959
0.232,0.62246,-0.589917,-0.36128,-0.366085,-0.085093,-0.251801,-0.073178,-0.104434,0.031607,0.027168,0.594688,-0.009567,-0.547356,-0.466789,1.184847,-0.308674
0.252,0.623651,-0.590084,-0.368325,-0.356646,-0.078572,-0.246046,-0.076631,-0.10405,0.056925,0.016043,0.171711,0.491966,0.011581,0.188831,1.540352,-0.882721
0.273,0.624079,-0.586712,-0.378082,-0.35121,-0.082024,-0.229167,-0.071643,-0.092542,0.089916,-0.005438,-0.406364,1.090181,0.357014,0.880707,1.689404,-1.082123
0.293,0.624356,-0.584129,-0.382551,-0.350181,-0.09852,-0.201163,-0.058217,-0.067607,0.122906,-0.020783,-0.852505,1.541359,1.069033,1.286564,1.784069,-0.442619
0.313,0.622424,-0.582018,-0.384176,-0.355319,-0.121153,-0.170091,-0.032515,-0.048811,0.165104,-0.021166,-1.280521,1.64509,1.4195,0.787045,2.127489,0.207966
0.333,0.62098,-0.581179,-0.381764,-0.361761,-0.15261,-0.132114,-0.001442,-0.044975,0.208836,-0.012344,-1.587685,1.855574,1.687387,0.024673,1.992538,0.59771
0.353,0.623166,-0.580294,-0.377988,-0.363384,-0.174475,-0.089149,0.028862,-0.05188,0.236455,0.014892,-0.961273,2.722683,1.391302,-0.30666,1.172762,1.571573
0.373,0.624417,-0.579972,-0.378072,-0.361659,-0.18138,-0.035442,0.060319,-0.051496,0.270214,0.043664,-0.133442,2.410482,1.927076,0.125385,2.271503,1.50309
0.393,0.621956,-0.581712,-0.37986,-0.361232,-0.176393,0.000999,0.109038,-0.044975,0.322002,0.07934,0.49398,1.398352,2.521263,0.54232,2.442711,1.690411
0.414,0.619372,-0.585792,-0.378935,-0.360048,-0.160282,0.016345,0.152002,-0.028862,0.35806,0.113865,0.930054,0.378166,1.782055,0.804165,1.161684,1.92909
