timestamp,libtorch_out1,libtorch_out2,libtorch_out3,libtorch_out4,libtorch_out5,libtorch_out6,pytorch_out1,pytorch_out2,pytorch_out3,pytorch_out4,pytorch_out5,pytorch_out6
0.055,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1
0.056,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1
0.075,1,-1,1,-1,-1,1,1,-1,1,-1,-1,1
0.095,-1,-1,1,1,0.994154,-1,-1,-1,1,1,0.994154,-1
0.116,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
0.136,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1
0.156,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1
0.176,1,1,-1,-1,1,1,1,1,-1,-1,1,1
0.196,1,1,-1,1,-0.992031,0.999999,1,1,-1,1,-0.992031,0.999999
0.216,1,1,1,1,1,-1,1,1,1,1,1,-1
0.236,-1,1,1,1,1,-1,-1,1,1,1,1,-1
0.256,-1,1,1,1,1,-1,-1,1,1,1,1,-1
0.276,-1,1,1,1,1,1,-1,1,1,1,1,1
0.296,-1,1,1,-1,1,1,-1,1,1,-1,1,1
0.316,-1,1,1,-1,1,1,-1,1,1,-1,1,1
0.336,1,1,1,-1,1,1,1,1,1,-1,1,1
0.356,1,1,1,1,0.977897,1,1,1,1,1,0.977897,1
0.377,1,-1,1,1,-1,1,1,-1,1,1,-1,1
0.397,1,-1,-1,1,-1,1,1,-1,-1,1,-1,1
0.417,1,-1,-1,1,-1,1,1,-1,-1,1,-1,1
0.437,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
0.457,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
0.477,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
0.497,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1
0.517,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1
0.537,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.557,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0.577,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1
0.597,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1
0.618,1,-1,-1,-1,1,1,1,-1,-1,-1,1,1
0.638,1,1,-1,-1,1,1,1,1,-1,-1,1,1
0.658,1,1,-1,1,1,-1,1,1,-1,1,1,-1
0.678,1,1,1,1,1,-1,1,1,1,1,1,-1
0.698,1,1,1,1,1,-1,1,1,1,1,1,-1
0.718,-1,1,1,1,1,-1,-1,1,1,1,1,-1
0.738,-1,1,1,1,1,-1,-1,1,1,1,1,-1
0.758,-1,1,1,1,1,-1,-1,1,1,1,1,-1
0.778,-1,1,1,-1,1,1,-1,1,1,-1,1,1
0.798,-1,1,1,-1,1,1,-1,1,1,-1,1,1
0.818,-1,1,1,-1,1,1,-1,1,1,-1,1,1
0.838,1,1,1,-1,1,1,1,1,1,-1,1,1
0.859,1,1,1,1,-1,1,1,1,1,1,-1,1
0.879,1,1,1,1,-1,1,1,1,1,1,-1,1
0.899,1,-1,-1,1,-1,1,1,-1,-1,1,-1,1
0.919,1,-1,-1,1,1,1,1,-1,-1,1,1,1
0.939,1,-1,-1,1,-1,1,1,-1,-1,1,-1,1
0.959,-1,-1,-1,-1,-1,-0.999842,-1,-1,-1,-1,-1,-0.999842
0.979,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
0.999,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
1.019,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
1.039,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1
1.059,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1
1.079,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1.099,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1
1.12,-1,-1,-1,-1,-0.999993,1,-1,-1,-1,-1,-0.999993,1
1.14,1,-1,-1,-1,1,1,1,-1,-1,-1,1,1
1.16,1,1,-1,-1,1,1,1,1,-1,-1,1,1
1.18,1,1,-1,-1,1,-1,1,1,-1,-1,1,-1
1.2,1,1,1,1,1,-1,1,1,1,1,1,-1
1.22,1,1,1,1,1,-1,1,1,1,1,1,-1
1.24,-1,1,1,1,1,-1,-1,1,1,1,1,-1
1.26,-1,1,1,1,1,-1,-1,1,1,1,1,-1
1.28,-1,1,1,1,1,-1,-1,1,1,1,1,-1
1.3,-1,1,1,1,1,1,-1,1,1,1,1,1
1.32,-1,1,1,-1,1,1,-1,1,1,-1,1,1
1.34,-1,1,1,-1,1,1,-1,1,1,-1,1,1
1.361,1,1,1,-1,1,1,1,1,1,-1,1,1
1.381,1,1,1,1,-1,1,1,1,1,1,-1,1
1.401,1,1,1,1,-1,1,1,1,1,1,-1,1
1.421,1,-1,-1,1,-1,1,1,-1,-1,1,-1,1
1.441,1,-1,-1,1,1,1,1,-1,-1,1,1,1
1.461,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1
1.481,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
1.501,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
1.521,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
1.541,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1
1.561,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1
1.581,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1
1.601,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1.622,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1
1.642,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1
1.662,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1
1.682,1,1,-1,-1,1,1,1,1,-1,-1,1,1
1.702,1,1,-1,-1,1,-1,1,1,-1,-1,1,-1
1.722,1,1,1,1,1,-1,1,1,1,1,1,-1
1.742,1,1,1,1,1,-1,1,1,1,1,1,-1
1.762,1,1,1,1,1,-1,1,1,1,1,1,-1
1.782,-1,1,1,1,1,-1,-1,1,1,1,1,-1
1.802,-1,1,1,1,0.013798,-1,-1,1,1,1,0.013802,-1
1.822,-1,1,1,1,0.99997,1,-1,1,1,1,0.99997,1
1.842,-1,1,1,-1,1,1,-1,1,1,-1,1,1
1.862,-1,1,1,-1,1,1,-1,1,1,-1,1,1
1.883,1,1,1,-1,1,1,1,1,1,-1,1,1
1.903,1,1,1,1,-1,1,1,1,1,1,-1,1
1.923,1,1,1,1,-1,1,1,1,1,1,-1,1
1.943,1,-1,-1,1,-1,1,1,-1,-1,1,-1,1
