timestamp,imu_w,imu_x,imu_y,imu_z,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6
0.044,-0.279297,-0.720703,-0.448413,-0.448894,0.001219,-0.001685,-0.001058,0.001442,-0.001,-0.002754,-0.042801,0.009567,-0.033737,-0.126392,0.067978,0.01561
0.048,-0.935613,-0.264973,-0.164863,-0.16504,0.001602,-0.001685,-0.001058,0.001442,-0.001,-0.002754,-0.040787,-0.024673,-0.028702,0.012589,-0.001511,-0.184803
0.065,-0.843987,0.40258,0.250481,0.250749,-0.000315,-0.013961,0.00086,-0.0116,-0.015194,-0.000451,0.007553,-0.843441,0.016617,-0.826321,-1.123413,-0.116318
0.085,-0.077666,0.748305,0.465587,0.466086,-0.009138,-0.037745,-0.006814,-0.036151,-0.027853,-0.008124,-0.526207,-1.531288,-0.47686,-1.41346,-0.438591,-0.556419
0.105,0.750742,0.495824,0.308496,0.308827,-0.012207,-0.053474,-0.010649,-0.055333,-0.025935,-0.027305,-0.03273,-0.486931,-0.041794,-0.786037,0.222065,-0.841427
0.125,0.978996,-0.153026,-0.095211,-0.095313,-0.003384,-0.056926,-0.00758,-0.061471,-0.012893,-0.035744,0.718563,-0.012589,0.276447,0.027695,0.904877,-0.394279
0.145,0.424627,-0.679545,-0.422805,-0.423258,-0.001082,-0.049637,0.014286,-0.053798,0.008974,-0.049554,-0.026688,0.504051,1.357061,0.492973,0.679287,-0.635983
0.165,-0.469196,-0.662826,-0.412403,-0.412845,-0.009522,-0.031607,0.035768,-0.050346,0.023934,-0.06298,-0.48391,1.052917,0.954224,0.170704,0.687344,-0.825314
0.185,-0.987936,-0.116235,-0.07232,-0.072398,-0.028319,-0.002836,0.06569,-0.039604,0.053473,-0.073721,-0.877686,1.342962,1.754864,0.560448,1.667246,-0.393272
0.205,-0.716907,0.523276,0.325576,0.325925,-0.036759,0.029771,0.107503,-0.038836,0.081861,-0.074489,-0.247242,1.54438,2.375235,-0.152576,1.20499,0.173725
0.225,0.127228,0.744473,0.463203,0.463699,-0.032156,0.047033,0.142028,-0.035,0.097204,-0.063364,0.398308,0.524193,1.170748,0.2271,0.249256,0.642025
0.246,0.869655,0.370527,0.230538,0.230785,-0.01681,0.05087,0.155838,-0.035384,0.10948,-0.044184,0.819271,0.093155,0.366077,-0.069992,0.633968,1.029755
0.266,0.916867,-0.299623,-0.186422,-0.186622,-0.012591,0.042814,0.154304,-0.030397,0.1137,-0.030757,0.066971,-0.443626,-0.125385,0.389244,0.036758,0.4114
