time,tensor_0,tensor_1,tensor_2,tensor_3,tensor_4,tensor_5,tensor_6,tensor_7,tensor_8,tensor_9,tensor_10,tensor_11,tensor_12,tensor_13,tensor_14,tensor_15,tensor_16,tensor_17,tensor_18,tensor_19,tensor_20,tensor_21,tensor_22
0,0.600275814533234,-0.600263237953186,-0.373546928167343,-0.373919308185577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.02,0.597402632236481,-0.601783335208893,-0.372235834598541,-0.37736901640892,-0.0070490837097168,-0.0105427503585815,-0.00653171539306641,0.00780463218688965,-0.00809955596923828,-0.00997933745384216,-0.336311042308807,-0.420889914035797,-0.0712426602840424,0.181601405143738,-0.784656167030335,0.245096445083618,-1,-1,-1,1,-1,1,1
0.04,0.594463109970093,-0.604200899600983,-0.369360595941544,-0.380956262350082,-0.0232192575931549,-0.0318089723587036,-0.0174610614776611,0.00820398330688477,-0.0264120697975159,-0.0139804780483246,-0.80517703294754,-0.949284076690674,-0.431977927684784,0.0155100394040346,-0.929103374481201,0.482514053583145,-1,-1,-1,-1,-1,1,1
0.06,0.592392683029175,-0.607471942901611,-0.362221032381058,-0.385803878307343,-0.0295906364917755,-0.0534675121307373,-0.0173358917236328,-0.00132489204406738,-0.0546956658363342,0.016467809677124,-0.303057312965393,-1.12125086784363,-0.239352256059647,-0.506304979324341,-1.34412932395935,1.72040390968323,1,-1,1,-1,-1,1,1
0.08,0.586550116539001,-0.613884150981903,-0.350536614656448,-0.395258516073227,-0.052325040102005,-0.0810324549674988,-0.0154323577880859,-0.000360965728759766,-0.0682805180549622,0.0331513285636902,-1.17165660858154,-1.25898623466492,0.105421639978886,0.0758956223726273,-0.619100511074066,0.837706565856934,-1,-1,1,0.99999988079071,0.994154214859009,-1,1
0.1,0.585514724254608,-0.619767248630524,-0.338197767734528,-0.398350566625595,-0.0685818046331406,-0.10764616727829,-0.00489377975463867,-0.00898051261901856,-0.0680997967720032,0.0386658310890198,-0.517788887023926,-1.45246875286102,0.569059312343597,-0.525525867938995,0.0642352551221848,0.242290452122688,1,-1,1,-1,1,-1,1
0.12,0.584367036819458,-0.625272393226624,-0.325189143419266,-0.402245551347733,-0.0805370509624481,-0.145345628261566,0.00217032432556152,-0.0252375602722168,-0.0564599633216858,0.031733363866806,-0.540424525737762,-1.92285251617432,0.177665948867798,-0.840484142303467,0.543775379657745,-0.316545903682709,-1,-1,-1,-1,1,-1,1
0.14,0.578658580780029,-0.631347060203552,-0.313486069440842,-0.41022139787674,-0.096931591629982,-0.193466126918793,-0.00262069702148437,-0.051160454750061,-0.0351797938346863,0.0146884024143219,-0.705497086048126,-2.13132953643799,-0.226041153073311,-1.25541079044342,0.99061793088913,-0.780711114406586,-1,-1,-1,-1,1,-1,1
0.16,0.566366672515869,-0.638548851013184,-0.307621777057648,-0.420538812875748,-0.0993929505348206,-0.225146889686584,-0.0191524028778076,-0.0857449769973755,-0.00584214925765991,0.0119822025299072,-0.17361456155777,-1.40229988098145,-0.863863050937653,-1.69171011447907,1.36073327064514,-0.125069215893745,1,1,-1,-1,1,1,1
0.18,0.546902418136597,-0.647870123386383,-0.307725340127945,-0.43181848526001,-0.0942664742469788,-0.243420124053955,-0.0492677688598633,-0.109413027763367,0.00870025157928467,0.0209961831569672,0.139003574848175,-0.697766005992889,-1.46179115772247,-0.966683864593506,0.605468988418579,0.41454353928566,1,1,-1,1,-0.99203097820282,0.999999403953552,1
0.2,0.527210533618927,-0.660291910171509,-0.306445002555847,-0.438354820013046,-0.0895875245332718,-0.243982315063477,-0.0639579296112061,-0.111098289489746,0.0246431231498718,0.00276058912277222,0.406449496746063,-0.597510159015656,0.667362153530121,1.38914585113525,-0.421462595462799,-2.49011135101318,1,1,1,1,1,-1,1
