timestamp,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6
0.051,-0.03369,0.037443,-0.011417,-0.010833,0.018181,-0.010042,-0.009567,0.011581,0.10524,-0.041794,-0.012589,0.017624
0.055,-0.03369,0.037443,-0.011417,-0.010833,0.018181,-0.010042,-0.019638,0.026688,-0.055893,-0.012589,0.033737,-0.078049
0.071,-0.050568,0.027853,-0.021774,-0.008531,0.008591,0.001083,-1.653149,-1.033783,-0.450676,0.186817,-0.965302,1.240238
0.091,-0.074735,0.001767,-0.031747,-0.013519,-0.018263,0.034456,-0.596703,-1.384254,-0.605766,-0.713528,-2.045914,2.143602
0.111,-0.091999,-0.035059,-0.036351,-0.016203,-0.063912,0.080106,-1.106293,-1.850536,-0.07402,-0.028702,-1.989517,1.805218
0.132,-0.105041,-0.070735,-0.036351,-0.017354,-0.091916,0.09852,-0.104233,-1.854565,0.218037,0.174732,-0.822292,0.216022
0.152,-0.116166,-0.11255,-0.027145,-0.016971,-0.089615,0.082408,-0.98645,-2.074112,0.6954,-0.101212,0.917969,-1.358067
0.172,-0.147238,-0.160884,-0.022157,-0.030397,-0.060076,0.051719,-1.501076,-2.989563,0.165668,-0.465782,2.025772,-1.850536
0.192,-0.158364,-0.218042,-0.028679,-0.053798,-0.012125,0.019112,-0.064957,-2.312794,-0.71957,-1.993546,2.584711,-0.861568
0.212,-0.148774,-0.254102,-0.054764,-0.101749,0.031607,0.017194,0.801144,-1.436623,-1.712566,-2.438683,1.949234,0.384209
0.232,-0.12729,-0.268295,-0.091208,-0.138193,0.071503,0.019496,1.422522,0.017624,-1.52021,-1.271458,1.868666,-0.276447
0.252,-0.104658,-0.251417,-0.115375,-0.161209,0.109863,0.005302,1.278507,0.968323,-0.87466,-0.81625,1.978439,-1.195927
0.273,-0.103123,-0.218042,-0.110772,-0.15392,0.152828,-0.025004,-0.631954,1.810253,0.599724,0.215015,1.859602,-1.271458
0.293,-0.119619,-0.191957,-0.079316,-0.123615,0.162418,-0.044184,-1.05896,1.943192,1.717602,2.705563,1.004578,-0.964294
0.313,-0.149924,-0.13288,-0.044406,-0.068375,0.176612,-0.039964,-1.849529,3.103365,1.841475,3.208103,0.544334,0.821285
0.333,-0.193656,-0.071503,-0.000291,-0.0116,0.185819,-0.022317,-2.26244,3.396429,2.612909,2.050949,0.683315,0.895813
0.353,-0.229332,-0.000919,0.064923,0.008347,0.227249,0.000699,-1.38224,3.116457,3.121492,0.101212,3.362188,2.184893
0.373,-0.231634,0.057774,0.1263,-0.00086,0.309342,0.055556,0.445641,2.983521,3.444771,-0.581596,4.705654,3.349096
0.393,-0.21015,0.108027,0.194583,-0.010066,0.395271,0.119619,1.451729,1.707531,3.220188,-0.114304,3.36521,3.214146
0.413,-0.173324,0.113014,0.249824,0.001059,0.441689,0.182148,1.952255,-0.583611,2.476952,1.007599,1.592722,2.751888
